text,sentiment,anger,joy,optimism,sadness
#Putin has the 'nudes' of EU power house countries. They cannot meddle anyhow. #UkraineRussia,negative,0.8055532574653625,0.0325165167450904,0.0960874557495117,0.0658427625894546
Supermarkets removing #Russian food and drinks having refused to remove Apartheid State products on the grounds that this would be “political” are disgusting hypocrites.,negative,0.9728354215621948,0.0049381479620933,0.0104296868667006,0.0117967072874307
"The war in #Ukraine is ""a catastrophe"" for the world which will cut global economic growth, the president of the World Bank said  https://t.co/LC5hRGU5uA",negative,0.1934040486812591,0.0148403514176607,0.1231276988983154,0.6686278581619263
"#OutlookBusiness | Exclusion of #Russian banks from #SWIFT as well as #sanctions imposed on #Russia will hurt #Indian oil companies’ ability to repatriate dividends from Russian oilfields as well as investments in the massive #Vostok project 

Read more: https://t.co/uc4JR5vY4c",negative,0.3367906808853149,0.0169583559036254,0.1155506521463394,0.5307002663612366
"@Levitic67494072 @zenbarn21 @YaboiAliAS Did I?
NO I DIDN'T
but there is a #NeoNazi element in #Ukraine gvt &amp; military
#AzovBattalion 
 https://t.co/Lks7MJ7VB9
https://t.co/w3eBTAB68h
https://t.co/SLDWvah55w
Now say I'm AS that’s the usual FAKE POISON you spread",negative,0.934406876564026,0.0133765675127506,0.0213210489600896,0.0308954324573278
#Ukrainian physicists call for #Russia’s ouster from #CERN Science AAAS   @newsfromscience https://t.co/ej55ZBdfAV,neutral,0.2371927201747894,0.2925135493278503,0.2737149000167846,0.1965788453817367
"@DeadlineDayLive In which case, we must show support for #Ukraine 🇺🇦 for the rest of the season. Let them miss out on the football they so desperately crave.

I’m sure they’ll enjoy Wuhan v Chongqing just as much.

#StandWithUkraine️ 
#China",positive,0.0891803205013275,0.4086510241031647,0.4510510563850403,0.051117580384016
The world leaders don't want to hear or talk about #Biafra but they want us to stand with #Ukraine you can't talk about injustice were there is inequality #BiafraLivesMatters #FreeNnamdiKanuNow #FreeBiafranow @KremlinRussia_E @DarthPutinKGB @UN @UNHumanRights,negative,0.7625404000282288,0.0081531601026654,0.0946606919169426,0.1346457153558731
"(THREAD) As the war escalates in #Ukraine, nonprofits are bringing relief. Here are just five of the nonprofits that are currently fundraising on GlobalGiving to continue their life-saving work:",positive,0.0287134777754545,0.0436764173209667,0.8570626974105835,0.0705474615097045
"Read: https://t.co/mtgJRK8RH1
.
.
.
.
.
#Biden #Russia #inflation #blackmedia #localnews #community #scoop #news #africanamericans #philadelphia #scoopusamedia #philly #subscribe https://t.co/HoLVnKUSIm",neutral,0.1058198884129524,0.7034059166908264,0.0923254415392875,0.0984486863017082
"unsig25312 from the @unsigned_algo collection is a touchstone of NFT history on #Cardano 🌿

Auction for @SavetheChildren in #Ukraine happening now with only 16 hours remaining to bid 

https://t.co/MJvmPI5gTq

💙💛 https://t.co/Cdg0a5lE2e https://t.co/yMakPOCOCZ",neutral,0.0366311855614185,0.6319199204444885,0.2636398673057556,0.0678089782595634
"""For years the international community has failed to deter Russia’s actions in #Syria, and now the Kremlin is doing it again in #Ukraine."" - @thistabithahope

https://t.co/VhTVRw6RuP",negative,0.4674162864685058,0.0220401249825954,0.1365619152784347,0.3739817142486572
"#Russia’s credit rating has plunged to CCC.
That is far below the junk bond levels Russia was ranked at a few days after the invasion, and just two notches above a warning that the country will go into default.",negative,0.2949302494525909,0.0147620635107159,0.0473395325243473,0.6429681181907654
"This could change things a bit. Not saying we'll see F-35s dogfighting with MiGs over Odessa on Monday, but things are changing. #StopPutin #StandWithUkraine️ #StopRussia #USA https://t.co/33qXUh1FhP",neutral,0.6248879432678223,0.044706080108881,0.2355632483959198,0.0948427766561508
"The number of refugees who have fled #Ukraine has surpassed 1 million.

Here are 4 updates on the humanitarian crisis from IRC’s @Madz_Raza, senior communications officer.

Our teams are on the ground in Poland working around the clock to scale our response. https://t.co/yDDW1e739u",neutral,0.1076347902417182,0.0508129000663757,0.3230541050434112,0.5184982419013977
"#Russia: “#Wagner plays on anti-#Western sentiment to gain sympathy for #Putin's policies,” says a researcher familiar with the group. “This is a textbook case,” says another expert.

https://t.co/jkyQwogfno",neutral,0.3212266564369201,0.1339981704950332,0.4104244112968445,0.1343508511781692
"Kyiv today: A military funeral, APCs on the street and humanitarian aid mounting up in the ticket hall of the central station. #Kyiv #Ukraine https://t.co/HjBnifilmk",neutral,0.2113240361213684,0.1160475388169288,0.1286845058202743,0.5439438819885254
"Lviv's 'concerned' locals help protect Ukrainian city's historic statues - CNN Style 

#Ukraine🇺🇦 #Freedom🇺🇲 #KeepKyivFree✊🏽 #Zelenskyy #FuckPutin 
 https://t.co/Rz43QIakst",neutral,0.5596914291381836,0.1653325706720352,0.2216383218765258,0.0533376261591911
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",positive,0.0227930545806884,0.8950514793395996,0.0648514032363891,0.0173040609806776
"Wednesday's UN vote on #Ukraine has exposed a deep rift in #Africa between non-aligned countries that refuse to take sides between #Russia and the West and others that see Moscow as the clear aggressor. Report by @JulianPecquet 
https://t.co/qi7SQDmv3b",negative,0.4486043155193329,0.0207657907158136,0.172614648938179,0.3580152094364166
