text,negative,neutral,positive
#Putin has the 'nudes' of EU power house countries. They cannot meddle anyhow. #UkraineRussia,0.4989505410194397,0.47056400775909424,0.030485358089208603
Supermarkets removing #Russian food and drinks having refused to remove Apartheid State products on the grounds that this would be “political” are disgusting hypocrites.,0.9164192080497742,0.07790450006723404,0.005676330532878637
"The war in #Ukraine is ""a catastrophe"" for the world which will cut global economic growth, the president of the World Bank said  https://t.co/LC5hRGU5uA",0.7522549629211426,0.23155425488948822,0.016190800815820694
"#OutlookBusiness | Exclusion of #Russian banks from #SWIFT as well as #sanctions imposed on #Russia will hurt #Indian oil companies’ ability to repatriate dividends from Russian oilfields as well as investments in the massive #Vostok project 

Read more: https://t.co/uc4JR5vY4c",0.6462724804878235,0.337932288646698,0.015795236453413963
"@Levitic67494072 @zenbarn21 @YaboiAliAS Did I?
NO I DIDN'T
but there is a #NeoNazi element in #Ukraine gvt &amp; military
#AzovBattalion 
 https://t.co/Lks7MJ7VB9
https://t.co/w3eBTAB68h
https://t.co/SLDWvah55w
Now say I'm AS that’s the usual FAKE POISON you spread",0.7000841498374939,0.2808523178100586,0.019063537940382957
#Ukrainian physicists call for #Russia’s ouster from #CERN Science AAAS   @newsfromscience https://t.co/ej55ZBdfAV,0.20414851605892181,0.7523707151412964,0.04348072037100792
"@DeadlineDayLive In which case, we must show support for #Ukraine 🇺🇦 for the rest of the season. Let them miss out on the football they so desperately crave.

I’m sure they’ll enjoy Wuhan v Chongqing just as much.

#StandWithUkraine️ 
#China",0.08889327198266983,0.3692960739135742,0.5418106317520142
The world leaders don't want to hear or talk about #Biafra but they want us to stand with #Ukraine you can't talk about injustice were there is inequality #BiafraLivesMatters #FreeNnamdiKanuNow #FreeBiafranow @KremlinRussia_E @DarthPutinKGB @UN @UNHumanRights,0.5232076048851013,0.4456670880317688,0.03112529218196869
"(THREAD) As the war escalates in #Ukraine, nonprofits are bringing relief. Here are just five of the nonprofits that are currently fundraising on GlobalGiving to continue their life-saving work:",0.006626227870583534,0.2803172171115875,0.7130565047264099
"Read: https://t.co/mtgJRK8RH1
.
.
.
.
.
#Biden #Russia #inflation #blackmedia #localnews #community #scoop #news #africanamericans #philadelphia #scoopusamedia #philly #subscribe https://t.co/HoLVnKUSIm",0.19024348258972168,0.7656727433204651,0.04408380389213562
"unsig25312 from the @unsigned_algo collection is a touchstone of NFT history on #Cardano 🌿

Auction for @SavetheChildren in #Ukraine happening now with only 16 hours remaining to bid 

https://t.co/MJvmPI5gTq

💙💛 https://t.co/Cdg0a5lE2e https://t.co/yMakPOCOCZ",0.005993101745843887,0.5041161179542542,0.4898907244205475
"""For years the international community has failed to deter Russia’s actions in #Syria, and now the Kremlin is doing it again in #Ukraine."" - @thistabithahope

https://t.co/VhTVRw6RuP",0.7904666662216187,0.19927659630775452,0.010256662033498287
"#Russia’s credit rating has plunged to CCC.
That is far below the junk bond levels Russia was ranked at a few days after the invasion, and just two notches above a warning that the country will go into default.",0.8333823680877686,0.1558065265417099,0.010811001993715763
"This could change things a bit. Not saying we'll see F-35s dogfighting with MiGs over Odessa on Monday, but things are changing. #StopPutin #StandWithUkraine️ #StopRussia #USA https://t.co/33qXUh1FhP",0.26764002442359924,0.6331990957260132,0.09916090220212936
"The number of refugees who have fled #Ukraine has surpassed 1 million.

Here are 4 updates on the humanitarian crisis from IRC’s @Madz_Raza, senior communications officer.

Our teams are on the ground in Poland working around the clock to scale our response. https://t.co/yDDW1e739u",0.21142038702964783,0.6978859305381775,0.0906936526298523
"#Russia: “#Wagner plays on anti-#Western sentiment to gain sympathy for #Putin's policies,” says a researcher familiar with the group. “This is a textbook case,” says another expert.

https://t.co/jkyQwogfno",0.40558573603630066,0.5456395149230957,0.04877472668886185
"Kyiv today: A military funeral, APCs on the street and humanitarian aid mounting up in the ticket hall of the central station. #Kyiv #Ukraine https://t.co/HjBnifilmk",0.4548037350177765,0.5191776752471924,0.026018565520644188
"Lviv's 'concerned' locals help protect Ukrainian city's historic statues - CNN Style 

#Ukraine🇺🇦 #Freedom🇺🇲 #KeepKyivFree✊🏽 #Zelenskyy #FuckPutin 
 https://t.co/Rz43QIakst",0.3636435568332672,0.5297986268997192,0.10655784606933594
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",0.024184463545680046,0.23151752352714539,0.7442980408668518
"Wednesday's UN vote on #Ukraine has exposed a deep rift in #Africa between non-aligned countries that refuse to take sides between #Russia and the West and others that see Moscow as the clear aggressor. Report by @JulianPecquet 
https://t.co/qi7SQDmv3b",0.5906190872192383,0.39320114254951477,0.016179721802473068
"Should #Nigeria not have taken sides with the West in the #Russia-#Ukraine war? Doing so may put its Ajaokuta Steel Complex and other projects at risk says one analyst. 

https://t.co/0YcGZvJ2F6",0.6410464644432068,0.3467111587524414,0.012242370285093784
"One eyewitness to the #Ukraine evacuation tells us: ""I overheard some students saying they weren't allowed to board the train. Students were lying on the floor with blankets covering them. There is no aid, no support, no food provided."" #AfricansinUkraine

https://t.co/3RTpVhKQth",0.8661962151527405,0.12713587284088135,0.006667877547442913
"The people in Ukraine are in dire need, and partners and volunteers are responding to the call. https://t.co/TDHikffKbh

#Charismanews #charismamedia #ConvoyofHope #Ukraine #humanitarian",0.16662190854549408,0.7003097534179688,0.1330682933330536
"UN agencies are working round the clock to support people inside #Ukraine and those who have fled to neighbouring countries.

Keep track of developments, and find out how to help, on the dedicated Ukraine Focus page.

https://t.co/TL8VhdabPY",0.06610038131475449,0.7801493406295776,0.15375030040740967
"Stop Russia! Save Ukraine! Arrest Putin!
The world depends on our action now!

#UkraineStands #HETBOЙHE #ArrestPutin 
#StopRussia #SlavaUkraini #SaveUkraine 

@NATO @UN @POTUS @EmmanuelMacron @DefenceU @BBC @AP @KyivIndependent https://t.co/bnPiOsCNhQ",0.30328670144081116,0.5884640216827393,0.1082492396235466
"#TankMetaverse receives hundreds of appeals from #Ukraine 🇺🇦

We’re participating various fundraising campaign to support Ukrainians. You can support us at least reposting!

Stay with us! 
Full ann &amp; requisites 👉🏻 https://t.co/hcWDHZt2wZ

#nowar #SupportUkraine #HelpUkraine https://t.co/T41sfdkAxJ",0.006258530542254448,0.30011191964149475,0.6936295628547668
I really do want to stay positive. So to end the Twitter feed for tonight: 390 babies were born in #Ukraine during these 9 days of war: 199 boys and 191 girls. #StandWithUkraine for our future https://t.co/gSWyZpzwhA,0.034385036677122116,0.34925344586372375,0.6163614988327026
"😨 NO NO NO NO…

Currently, until the #AN225 has been inspected by experts, we cannot report on the technical condition of the aircraft.
 
Please wait for the official announcements about the condition of the aircraft

#StopRussia #Ukraine https://t.co/pEXDanePTw",0.7473577260971069,0.23695267736911774,0.015689577907323837
"Majestic is raising funds for the Disasters Emergency Committee to help to support more than half a million people who fled their homes to escape conflict in #Ukraine. Please use the link below to donate. Thank you for your help.
https://t.co/0R2i9EDwl6 https://t.co/DBWltrxid0",0.02377876080572605,0.3918238580226898,0.5843973755836487
"@IAPonomarenko “Prayer, charity and fasting are not medicines meant only for ourselves but for everyone: they can change history, because they are the principal ways for God to intervene in our lives and in the world. They are weapons of the spirit.” @Pontifex (📸@vindman) #Ukraine #Lent2022 https://t.co/HyIvbzUQWk",0.018686065450310707,0.5082117915153503,0.47310206294059753
