text,negative,neutral,positive,anger,joy,optimism,sadness
#Putin has the 'nudes' of EU power house countries. They cannot meddle anyhow. #UkraineRussia,0.4989505410194397,0.47056400775909424,0.030485358089208603,0.8055532574653625,0.032516516745090485,0.09608745574951172,0.06584276258945465
Supermarkets removing #Russian food and drinks having refused to remove Apartheid State products on the grounds that this would be “political” are disgusting hypocrites.,0.9164192080497742,0.07790450006723404,0.005676330532878637,0.9728354215621948,0.004938147962093353,0.01042968686670065,0.011796707287430763
"The war in #Ukraine is ""a catastrophe"" for the world which will cut global economic growth, the president of the World Bank said  https://t.co/LC5hRGU5uA",0.7522549629211426,0.23155425488948822,0.016190800815820694,0.19340404868125916,0.014840351417660713,0.12312769889831543,0.6686278581619263
"#OutlookBusiness | Exclusion of #Russian banks from #SWIFT as well as #sanctions imposed on #Russia will hurt #Indian oil companies’ ability to repatriate dividends from Russian oilfields as well as investments in the massive #Vostok project 

Read more: https://t.co/uc4JR5vY4c",0.6462724804878235,0.337932288646698,0.015795236453413963,0.33679068088531494,0.01695835590362549,0.11555065214633942,0.5307002663612366
"@Levitic67494072 @zenbarn21 @YaboiAliAS Did I?
NO I DIDN'T
but there is a #NeoNazi element in #Ukraine gvt &amp; military
#AzovBattalion 
 https://t.co/Lks7MJ7VB9
https://t.co/w3eBTAB68h
https://t.co/SLDWvah55w
Now say I'm AS that’s the usual FAKE POISON you spread",0.7000841498374939,0.2808523178100586,0.019063537940382957,0.9344068765640259,0.013376567512750626,0.021321048960089684,0.030895432457327843
#Ukrainian physicists call for #Russia’s ouster from #CERN Science AAAS   @newsfromscience https://t.co/ej55ZBdfAV,0.20414851605892181,0.7523707151412964,0.04348072037100792,0.23719272017478943,0.29251354932785034,0.27371490001678467,0.19657884538173676
"@DeadlineDayLive In which case, we must show support for #Ukraine 🇺🇦 for the rest of the season. Let them miss out on the football they so desperately crave.

I’m sure they’ll enjoy Wuhan v Chongqing just as much.

#StandWithUkraine️ 
#China",0.08889327198266983,0.3692960739135742,0.5418106317520142,0.08918032050132751,0.4086510241031647,0.4510510563850403,0.05111758038401604
The world leaders don't want to hear or talk about #Biafra but they want us to stand with #Ukraine you can't talk about injustice were there is inequality #BiafraLivesMatters #FreeNnamdiKanuNow #FreeBiafranow @KremlinRussia_E @DarthPutinKGB @UN @UNHumanRights,0.5232076048851013,0.4456670880317688,0.03112529218196869,0.7625404000282288,0.008153160102665424,0.0946606919169426,0.1346457153558731
"(THREAD) As the war escalates in #Ukraine, nonprofits are bringing relief. Here are just five of the nonprofits that are currently fundraising on GlobalGiving to continue their life-saving work:",0.006626227870583534,0.2803172171115875,0.7130565047264099,0.02871347777545452,0.04367641732096672,0.8570626974105835,0.07054746150970459
"Read: https://t.co/mtgJRK8RH1
.
.
.
.
.
#Biden #Russia #inflation #blackmedia #localnews #community #scoop #news #africanamericans #philadelphia #scoopusamedia #philly #subscribe https://t.co/HoLVnKUSIm",0.19024348258972168,0.7656727433204651,0.04408380389213562,0.10581988841295242,0.7034059166908264,0.09232544153928757,0.09844868630170822
"unsig25312 from the @unsigned_algo collection is a touchstone of NFT history on #Cardano 🌿

Auction for @SavetheChildren in #Ukraine happening now with only 16 hours remaining to bid 

https://t.co/MJvmPI5gTq

💙💛 https://t.co/Cdg0a5lE2e https://t.co/yMakPOCOCZ",0.005993101745843887,0.5041161179542542,0.4898907244205475,0.03663118556141853,0.6319199204444885,0.2636398673057556,0.06780897825956345
"""For years the international community has failed to deter Russia’s actions in #Syria, and now the Kremlin is doing it again in #Ukraine."" - @thistabithahope

https://t.co/VhTVRw6RuP",0.7904666662216187,0.19927659630775452,0.010256662033498287,0.46741628646850586,0.022040124982595444,0.13656191527843475,0.3739817142486572
"#Russia’s credit rating has plunged to CCC.
That is far below the junk bond levels Russia was ranked at a few days after the invasion, and just two notches above a warning that the country will go into default.",0.8333823680877686,0.1558065265417099,0.010811001993715763,0.29493024945259094,0.014762063510715961,0.047339532524347305,0.6429681181907654
"This could change things a bit. Not saying we'll see F-35s dogfighting with MiGs over Odessa on Monday, but things are changing. #StopPutin #StandWithUkraine️ #StopRussia #USA https://t.co/33qXUh1FhP",0.26764002442359924,0.6331990957260132,0.09916090220212936,0.6248879432678223,0.044706080108881,0.2355632483959198,0.09484277665615082
"The number of refugees who have fled #Ukraine has surpassed 1 million.

Here are 4 updates on the humanitarian crisis from IRC’s @Madz_Raza, senior communications officer.

Our teams are on the ground in Poland working around the clock to scale our response. https://t.co/yDDW1e739u",0.21142038702964783,0.6978859305381775,0.0906936526298523,0.10763479024171829,0.05081290006637573,0.32305410504341125,0.5184982419013977
"#Russia: “#Wagner plays on anti-#Western sentiment to gain sympathy for #Putin's policies,” says a researcher familiar with the group. “This is a textbook case,” says another expert.

https://t.co/jkyQwogfno",0.40558573603630066,0.5456395149230957,0.04877472668886185,0.32122665643692017,0.13399817049503326,0.4104244112968445,0.13435085117816925
"Kyiv today: A military funeral, APCs on the street and humanitarian aid mounting up in the ticket hall of the central station. #Kyiv #Ukraine https://t.co/HjBnifilmk",0.4548037350177765,0.5191776752471924,0.026018565520644188,0.2113240361213684,0.11604753881692886,0.12868450582027435,0.5439438819885254
"Lviv's 'concerned' locals help protect Ukrainian city's historic statues - CNN Style 

#Ukraine🇺🇦 #Freedom🇺🇲 #KeepKyivFree✊🏽 #Zelenskyy #FuckPutin 
 https://t.co/Rz43QIakst",0.3636435568332672,0.5297986268997192,0.10655784606933594,0.5596914291381836,0.16533257067203522,0.22163832187652588,0.05333762615919113
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",0.024184463545680046,0.23151752352714539,0.7442980408668518,0.022793054580688477,0.8950514793395996,0.06485140323638916,0.017304060980677605
