text,emotion
#Putin has the 'nudes' of EU power house countries. They cannot meddle anyhow. #UkraineRussia,anger
Supermarkets removing #Russian food and drinks having refused to remove Apartheid State products on the grounds that this would be “political” are disgusting hypocrites.,anger
"The war in #Ukraine is ""a catastrophe"" for the world which will cut global economic growth, the president of the World Bank said  https://t.co/LC5hRGU5uA",sadness
"#OutlookBusiness | Exclusion of #Russian banks from #SWIFT as well as #sanctions imposed on #Russia will hurt #Indian oil companies’ ability to repatriate dividends from Russian oilfields as well as investments in the massive #Vostok project 

Read more: https://t.co/uc4JR5vY4c",sadness
"@Levitic67494072 @zenbarn21 @YaboiAliAS Did I?
NO I DIDN'T
but there is a #NeoNazi element in #Ukraine gvt &amp; military
#AzovBattalion 
 https://t.co/Lks7MJ7VB9
https://t.co/w3eBTAB68h
https://t.co/SLDWvah55w
Now say I'm AS that’s the usual FAKE POISON you spread",anger
#Ukrainian physicists call for #Russia’s ouster from #CERN Science AAAS   @newsfromscience https://t.co/ej55ZBdfAV,joy
"@DeadlineDayLive In which case, we must show support for #Ukraine 🇺🇦 for the rest of the season. Let them miss out on the football they so desperately crave.

I’m sure they’ll enjoy Wuhan v Chongqing just as much.

#StandWithUkraine️ 
#China",optimism
The world leaders don't want to hear or talk about #Biafra but they want us to stand with #Ukraine you can't talk about injustice were there is inequality #BiafraLivesMatters #FreeNnamdiKanuNow #FreeBiafranow @KremlinRussia_E @DarthPutinKGB @UN @UNHumanRights,anger
"(THREAD) As the war escalates in #Ukraine, nonprofits are bringing relief. Here are just five of the nonprofits that are currently fundraising on GlobalGiving to continue their life-saving work:",optimism
"Read: https://t.co/mtgJRK8RH1
.
.
.
.
.
#Biden #Russia #inflation #blackmedia #localnews #community #scoop #news #africanamericans #philadelphia #scoopusamedia #philly #subscribe https://t.co/HoLVnKUSIm",joy
"unsig25312 from the @unsigned_algo collection is a touchstone of NFT history on #Cardano 🌿

Auction for @SavetheChildren in #Ukraine happening now with only 16 hours remaining to bid 

https://t.co/MJvmPI5gTq

💙💛 https://t.co/Cdg0a5lE2e https://t.co/yMakPOCOCZ",joy
"""For years the international community has failed to deter Russia’s actions in #Syria, and now the Kremlin is doing it again in #Ukraine."" - @thistabithahope

https://t.co/VhTVRw6RuP",anger
"#Russia’s credit rating has plunged to CCC.
That is far below the junk bond levels Russia was ranked at a few days after the invasion, and just two notches above a warning that the country will go into default.",sadness
"This could change things a bit. Not saying we'll see F-35s dogfighting with MiGs over Odessa on Monday, but things are changing. #StopPutin #StandWithUkraine️ #StopRussia #USA https://t.co/33qXUh1FhP",anger
"The number of refugees who have fled #Ukraine has surpassed 1 million.

Here are 4 updates on the humanitarian crisis from IRC’s @Madz_Raza, senior communications officer.

Our teams are on the ground in Poland working around the clock to scale our response. https://t.co/yDDW1e739u",sadness
"#Russia: “#Wagner plays on anti-#Western sentiment to gain sympathy for #Putin's policies,” says a researcher familiar with the group. “This is a textbook case,” says another expert.

https://t.co/jkyQwogfno",optimism
"Kyiv today: A military funeral, APCs on the street and humanitarian aid mounting up in the ticket hall of the central station. #Kyiv #Ukraine https://t.co/HjBnifilmk",sadness
"Lviv's 'concerned' locals help protect Ukrainian city's historic statues - CNN Style 

#Ukraine🇺🇦 #Freedom🇺🇲 #KeepKyivFree✊🏽 #Zelenskyy #FuckPutin 
 https://t.co/Rz43QIakst",anger
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",joy
"Wednesday's UN vote on #Ukraine has exposed a deep rift in #Africa between non-aligned countries that refuse to take sides between #Russia and the West and others that see Moscow as the clear aggressor. Report by @JulianPecquet 
https://t.co/qi7SQDmv3b",anger
"Should #Nigeria not have taken sides with the West in the #Russia-#Ukraine war? Doing so may put its Ajaokuta Steel Complex and other projects at risk says one analyst. 

https://t.co/0YcGZvJ2F6",sadness
"One eyewitness to the #Ukraine evacuation tells us: ""I overheard some students saying they weren't allowed to board the train. Students were lying on the floor with blankets covering them. There is no aid, no support, no food provided."" #AfricansinUkraine

https://t.co/3RTpVhKQth",sadness
"The people in Ukraine are in dire need, and partners and volunteers are responding to the call. https://t.co/TDHikffKbh

#Charismanews #charismamedia #ConvoyofHope #Ukraine #humanitarian",sadness
